"Part","Value","Device","Package","Library","Description","AVAILABILITY","BUILT_BY","DESCRIPTION","MANUFACTURER_PART_NUMBER","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PRICE","SOURCELIBRARY","SPICEPREFIX","VENDOR",
"C1","10 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","SAMSUNG ELECTRO-MECHANICS","","CL05C100JB5NNNC","","82AC9241","","18","","","C","",
"C2","12 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A120JAT2A","","96M1132","","18","","","C","",
"C3","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C4","8.2 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A8R2BAT2A","","96Y8184","","18","","","C","",
"C5","10 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","SAMSUNG ELECTRO-MECHANICS","","CL05C100JB5NNNC","","82AC9241","","18","","","C","",
"C6","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C7","12 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A120JAT2A","","96M1132","","18","","","C","",
"C8","8.2 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A8R2BAT2A","","96Y8184","","18","","","C","",
"C9","0.75 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1HR75BB01D","","66AH5898","","18","","","C","",
"C10","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C11","0.75 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1HR75BB01D","","66AH5898","","18","","","C","",
"C12","10 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","SAMSUNG ELECTRO-MECHANICS","","CL05C100JB5NNNC","","82AC9241","","18","","","C","",
"C13","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C14","12 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A120JAT2A","","96M1132","","18","","","C","",
"C15","10 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","SAMSUNG ELECTRO-MECHANICS","","CL05C100JB5NNNC","","82AC9241","","18","","","C","",
"C16","12 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A120JAT2A","","96M1132","","18","","","C","",
"C17","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C18","8.2 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","AVX","","04025A8R2BAT2A","","96Y8184","","18","","","C","",
"C19","10 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","SAMSUNG ELECTRO-MECHANICS","","CL05C100JB5NNNC","","82AC9241","","18","","","C","",
"C20","5 pF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","MURATA","","GJM1555C1H5R0CB01D","","13AJ0434","","18","","","C","",
"C21","0.1uF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","KEMET","","C0402C104K4RACTU","","70K9077","","18","","","C","",
"C22","0.1uF","C-EUC0402","C0402","rcl","CAPACITOR, European symbol","","","","","KEMET","","C0402C104K4RACTU","","70K9077","","18","","","C","",
